user_id,movie_id,rating,created_timestamp
196,242,3,881250949
302,302,3,891717742
377,377,1,878887116
51,51,2,880606923
346,346,1,886397596
474,474,4,884182806
265,265,2,881171488
465,465,5,891628467
451,451,3,886324817
86,86,3,883603013
257,257,2,879372434
1014,1014,5,879781125
222,222,5,876042340
40,40,3,891035994
29,29,3,888104457
785,785,3,879485318
387,387,5,879270459
274,274,2,879539794
1042,1042,4,874834944
1184,1184,2,892079237
392,392,4,886176814
486,486,4,892738452
144,144,4,877881320
118,118,2,874833878
1,1,4,887736532
546,546,2,879196566
95,95,5,892430094
768,768,2,883748450
277,277,4,875747401
234,234,5,876861185
246,246,3,877052329
98,98,4,882075827
193,193,4,879539727
88,88,4,880731963
194,194,3,884238860
274,274,4,886890835
1081,1081,1,878962623
603,603,5,891295330
796,796,1,874791932
32,32,4,891350932
16,16,4,877888877
304,304,4,885329322
979,979,2,884114233
564,564,3,874791805
327,327,5,875333916
201,201,5,884921594
1137,1137,5,879741196
241,241,5,879641194
4,4,5,886519097
332,332,3,882823437
100,100,4,886271884
432,432,2,876535131
322,322,4,890618898
181,181,5,885853415
196,196,5,888205088
679,679,2,880037164
384,384,4,879877127
143,143,5,880474293
423,423,5,881107687
515,515,4,881103977
20,20,3,881171009
288,288,1,879667584
219,219,4,884112673
526,526,3,882141053
919,919,4,884920949
26,26,5,879024232
232,232,1,892738341
427,427,5,883326620
304,304,5,883698581
274,274,4,891550094
512,512,4,893277702
15,15,3,879987440
1049,1049,1,890251826
416,416,3,884923047
165,165,4,879546723
690,690,2,887249482
248,248,4,882823954
1444,1444,3,886475558
5,5,3,888906576
229,229,5,884364867
237,237,5,879539643
229,229,3,878192429
480,480,5,879540748
54,54,3,874791025
144,144,5,874835091
366,366,4,878183381
518,518,5,878971773
403,403,3,881108684
111,111,4,891903862
625,625,4,888954412
338,338,4,879361873
25,25,4,877635573
1016,1016,4,879876194
154,154,5,875296291
275,275,2,885557505
1153,1153,5,874781198
498,498,4,879373848
382,382,3,879375537
209,209,4,881961214
23,23,4,879857765
294,294,3,883709863
382,382,5,891383835
208,208,4,877531942
685,685,3,888905170
144,144,4,880234639
328,328,5,886397722
496,496,4,878090499
132,132,5,885848672
174,174,5,876860807
118,118,4,875320714
498,498,3,884207492
96,96,5,881107178
151,151,5,884288058
307,307,4,886987260
144,144,4,884304936
648,648,4,891384754
346,346,4,885844430
21,21,3,879373460
832,832,3,881375854
514,514,4,879376641
789,789,4,891720887
485,485,3,879966895
317,317,4,884182806
195,195,5,878347874
200,200,5,886122352
385,385,2,879524643
195,195,5,880037702
750,750,5,883815120
264,264,3,878089182
265,265,3,890687042
245,245,3,888082216
135,135,3,878769629
1147,1147,4,879791710
471,471,3,888904884
658,658,3,880245029
140,140,3,878092059
23,23,5,888205300
379,379,5,877533771
815,815,4,880605185
479,479,4,891352010
368,368,1,886434402
274,274,4,879876734
1211,1211,2,879551380
1134,1134,2,884714402
836,836,2,882139746
272,272,4,884538403
756,756,2,880605157
427,427,5,886323090
787,787,2,888954930
14,14,2,883955745
955,955,4,889502823
419,419,3,883698454
405,405,3,883452363
504,504,4,891449922
111,111,3,877878184
466,466,4,879525876
135,135,4,876860807
268,268,3,885678247
486,486,4,877886846
117,117,4,874724988
427,427,3,879456350
919,919,4,879467295
273,273,5,878870987
514,514,3,891387947
98,98,5,891383204
559,559,2,888067405
794,794,3,881108425
323,323,2,879371261
117,117,4,876973939
177,177,4,875537965
